all_concepts,concept_label,short_label
theme1,"Theme 1: Understanding the Molecular, Cellular, and Structural Basis of Development",Developmental Biology
theme2,"Theme 2: Promoting Gynecologic, Andrologic, and Reproductive Health",Reproductive Health
theme3,Theme 3: Setting the Foundation for Healthy Pregnancies and Lifelong Wellness,Pregnancy
theme4,Theme 4: Improving Child and Adolescent Health and the Transition to Adulthood,Pediatrics
theme5,Theme 5: Advancing Safe and Effective Therapeutics and Devices,Pharmacology
ncmrr,Rehabilitation,Rehabilitation
infectious,Infectious Diseases,Infectious Diseases
nutrition,Nutrition,Nutrition
disparities,Health Disparities,Health Disparities
global,Global Health,Global Health
unclassified,Not Classified,Unclassified
informatics,Data Science & AI,Data Science & AI
